occupation,entry_level_education,annual_wage_2021,judgment_and_decision.l,active_learning.l,complex_problem_solving.l,critical_thinking.l,equipment_selection.l,troubleshooting.l,repairing.l,equipment_maintenance.l,glare_sensitivity.l,peripheral_vision.l,sound_localization.l,arm_hand_steadiness.l,finger_dexterity.l,control_precision.l,inductive_reasoning.l,deductive_reasoning.l,information_ordering.l,therapy_and_counseling.l,medicine_and_dentistry.l,psychology.l,biology.l,physics.l,engineering_and_technology.l,mechanical.l,building_and_construction.l,administration_and_management.l,economics_and_accounting.l,personnel_and_human_resources.l,administrative.l,history_and_archeology.l,fine_arts.l,philosophy_and_theology.l,sociology_and_anthropology.l
Probation Officers and Correctional Treatment Specialists,Bachelor's degree,60250,0.54,0.46,0.48,0.57,0,0.09,0,0,0.11,0.09,0.07,0.23,0.23,0.23,0.55,0.57,0.43,0.72,0.13,0.75,0,0,0,0,0,0.41,0.09,0.27,0.54,0.1,0,0.37,0.56
Procurement Clerks,High school diploma or equivalent,45150,0.46,0.5,0.43,0.52,0,0,0,0,0,0,0,0,0,0.05,0.45,0.48,0.43,0,0,0.3,0,0,0.14,0.17,0.14,0.64,0.34,0.32,0.75,0,0,0.18,0.21
Producers and Directors,Bachelor's degree,79000,0.54,0.53,0.5,0.57,0,0,0,0,0,0,0,0.28,0.31,0.25,0.55,0.59,0.52,0.25,0,0.42,0,0.15,0.29,0.17,0,0.49,0,0.36,0.4,0.36,0.55,0.47,0.47
"Production, Planning, and Expediting Clerks",High school diploma or equivalent,48040,0.43,0.41,0.43,0.55,0,0.13,0,0,0,0,0,0.25,0.3,0.2,0.46,0.52,0.5,0,0,0.31,0,0.19,0.32,0.38,0.18,0.59,0.3,0.34,0.55,0,0,0,0.14
Proofreaders and Copy Markers,Bachelor's degree,43940,0.32,0.34,0.34,0.43,0,0,0,0,0,0,0,0.14,0.2,0.05,0.37,0.43,0.43,0,0,0.1,0,0,0,0.04,0,0.31,0,0,0.41,0.13,0,0.26,0.17
"Property, Real Estate, and Community Association Managers",High school diploma or equivalent,59230,0.48,0.45,0.45,0.55,0,0.09,0,0,0,0,0,0,0.09,0.05,0.5,0.55,0.45,0.16,0,0.46,0.15,0.19,0.33,0.36,0.52,0.72,0.65,0.6,0.69,0.09,0,0.2,0.2
Prosthodontists,Doctoral or professional degree,100950,0.48,0.46,0.54,0.57,0.2,0.32,0.14,0.16,0,0,0,0.57,0.59,0.59,0.55,0.55,0.48,0.39,0.91,0.69,0.62,0.51,0.63,0.56,0,0.62,0.41,0.54,0.37,0.18,0.29,0.17,0.31
Psychiatric Aides,High school diploma or equivalent,30260,0.41,0.43,0.43,0.46,0,0.14,0,0,0.05,0.05,0.05,0.39,0.36,0.29,0.45,0.45,0.45,0.48,0.26,0.66,0,0,0,0,0,0.23,0,0.17,0.23,0,0,0.28,0.31
Psychiatric Technicians,Postsecondary nondegree award,36570,0.45,0.46,0.46,0.55,0,0.13,0,0,0.05,0.11,0.11,0.37,0.37,0.3,0.55,0.57,0.46,0.69,0.27,0.79,0,0,0,0,0,0.36,0,0.29,0.37,0.17,0,0.34,0.45
Psychiatrists,Doctoral or professional degree,208000,0.61,0.63,0.61,0.66,0,0,0,0,0,0,0,0,0.29,0,0.68,0.66,0.59,0.96,0.83,0.94,0.65,0.2,0,0,0,0.49,0.22,0.39,0.42,0.17,0,0.59,0.64
"Psychology Teachers, Postsecondary",Doctoral or professional degree,77860,0.59,0.66,0.55,0.61,0,0,0,0,0,0,0,0,0.09,0,0.59,0.59,0.48,0.68,0.31,0.89,0.47,0.15,0.19,0,0,0.5,0,0.51,0.59,0.43,0.19,0.65,0.73
Public Relations Specialists,Bachelor's degree,62800,0.57,0.52,0.48,0.57,0,0,0,0,0,0,0,0,0.29,0,0.55,0.55,0.43,0.2,0.08,0.37,0.09,0,0.15,0.09,0,0.61,0.35,0.42,0.62,0.28,0.28,0.33,0.53
Public Safety Telecommunicators,High school diploma or equivalent,46670,0.45,0.43,0.45,0.55,0,0.21,0,0,0.05,0,0,0.3,0.37,0.3,0.46,0.54,0.52,0.35,0.26,0.65,0,0.1,0.14,0.14,0,0.39,0.09,0.33,0.64,0,0,0.25,0.27
"Pump Operators, Except Wellhead Pumpers",High school diploma or equivalent,49580,0.43,0.41,0.41,0.45,0.3,0.41,0.39,0.39,0.29,0.27,0.18,0.45,0.45,0.46,0.43,0.43,0.45,0,0.13,0.14,0.16,0.41,0.48,0.6,0.25,0.44,0.3,0.36,0.41,0,0,0,0
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Bachelor's degree,63470,0.55,0.55,0.55,0.55,0,0.11,0,0,0,0,0,0.07,0.11,0,0.55,0.57,0.54,0.23,0.1,0.4,0.16,0.12,0.43,0.3,0.28,0.68,0.52,0.47,0.7,0.14,0,0.29,0.25
Purchasing Managers,Bachelor's degree,127150,0.54,0.55,0.46,0.57,0,0.13,0,0,0,0,0,0,0.14,0,0.55,0.57,0.52,0,0,0.29,0.21,0.16,0.38,0.3,0.26,0.71,0.56,0.54,0.68,0,0,0.13,0.17
Quality Control Analysts,Associate's degree,48030,0.45,0.45,0.46,0.52,0.16,0.43,0.2,0.23,0,0,0,0.43,0.43,0.37,0.48,0.57,0.46,0.15,0,0.14,0.3,0.29,0.3,0.46,0.17,0.28,0.11,0.21,0.53,0.13,0,0.09,0
Quality Control Systems Managers,Bachelor's degree,103150,0.61,0.57,0.57,0.59,0.27,0.41,0.32,0.34,0,0,0,0.39,0.43,0.41,0.57,0.55,0.48,0.17,0.17,0.4,0.54,0.4,0.44,0.4,0.21,0.64,0.28,0.61,0.68,0,0,0,0.14
Radiation Therapists,Associate's degree,82790,0.45,0.43,0.43,0.54,0.37,0.39,0.3,0.39,0.11,0.13,0.23,0.5,0.46,0.45,0.46,0.55,0.55,0.56,0.59,0.63,0.52,0.55,0.31,0.36,0,0.36,0.12,0.33,0.46,0,0,0.38,0.34
Radio Frequency Identification Device Specialists,Bachelor's degree,104820,0.48,0.5,0.52,0.55,0.37,0.43,0.32,0.32,0,0,0,0.36,0.34,0.37,0.54,0.61,0.54,0,0,0.23,0,0.47,0.77,0.27,0.25,0.6,0.25,0.32,0.52,0,0,0,0.12
"Radio, Cellular, and Tower Equipment Installers and Repairers",Associate's degree,60360,0.39,0.39,0.37,0.45,0.43,0.54,0.52,0.48,0.3,0.2,0.2,0.43,0.45,0.45,0.45,0.46,0.48,0,0,0.21,0,0.49,0.68,0.69,0.51,0.63,0.32,0.46,0.59,0,0,0,0
Radiologic Technologists and Technicians,Associate's degree,61370,0.43,0.44,0.41,0.48,0.12,0.26,0,0.09,0,0,0,0.44,0.44,0.45,0.47,0.48,0.49,0.33,0.55,0.53,0.41,0.43,0.26,0.32,0,0.36,0.18,0.27,0.51,0,0,0,0.28
Radiologists,Doctoral or professional degree,208000,0.61,0.57,0.57,0.64,0,0.25,0,0,0,0,0,0.43,0.45,0.45,0.64,0.63,0.57,0.5,0.89,0.64,0.73,0.58,0.47,0.23,0.19,0.51,0.38,0.5,0.49,0,0,0.23,0.37
Rail Car Repairers,High school diploma or equivalent,60250,0.39,0.39,0.37,0.48,0.34,0.54,0.57,0.46,0.3,0.27,0.29,0.5,0.54,0.54,0.43,0.43,0.43,0,0.09,0.14,0,0.35,0.6,0.73,0.63,0.42,0.21,0.19,0.27,0,0,0,0
"Rail Yard Engineers, Dinkey Operators, and Hostlers",High school diploma or equivalent,61090,0.41,0.39,0.45,0.43,0.29,0.43,0.43,0.37,0.41,0.36,0.27,0.43,0.41,0.54,0.43,0.45,0.43,0,0.08,0.23,0,0.24,0.3,0.51,0.16,0.47,0.15,0.21,0.4,0,0,0,0
Rail-Track Laying and Maintenance Equipment Operators,High school diploma or equivalent,61690,0.39,0.34,0.34,0.43,0.32,0.43,0.43,0.43,0.41,0.29,0.2,0.43,0.41,0.57,0.41,0.43,0.41,0.15,0.13,0.25,0.16,0.41,0.53,0.62,0.64,0.41,0.21,0.26,0.25,0,0,0,0.1
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",High school diploma or equivalent,63840,0.37,0.35,0.37,0.39,0.21,0.42,0.31,0,0,0.29,0.3,0.43,0.41,0.53,0.42,0.43,0.41,0,0,0.33,0,0.27,0.24,0.55,0,0.26,0,0.23,0.26,0,0,0,0
Railroad Conductors and Yardmasters,High school diploma or equivalent,63960,0.43,0.43,0.48,0.52,0,0.3,0,0,0.37,0.3,0.23,0.41,0.39,0.45,0.45,0.54,0.54,0.26,0.17,0.39,0.16,0.32,0.26,0.46,0,0.33,0,0.27,0.26,0.17,0,0.16,0.18
Range Managers,Bachelor's degree,63750,0.55,0.52,0.59,0.57,0.09,0.18,0.09,0.07,0.29,0.2,0.13,0.29,0.29,0.34,0.59,0.59,0.48,0.19,0.14,0.39,0.62,0.26,0.5,0.48,0.46,0.57,0.37,0.43,0.58,0.45,0,0.2,0.33
Real Estate Brokers,High school diploma or equivalent,62010,0.57,0.54,0.41,0.55,0,0.09,0,0,0,0,0,0,0,0.09,0.45,0.57,0.43,0,0,0.5,0,0,0.18,0.23,0.45,0.61,0.51,0.42,0.65,0,0,0.27,0.38
Real Estate Sales Agents,High school diploma or equivalent,48340,0.54,0.46,0.43,0.57,0,0.13,0,0,0.14,0.13,0.13,0.11,0.21,0.2,0.46,0.55,0.43,0.33,0,0.52,0.1,0.1,0.23,0.27,0.5,0.63,0.5,0.41,0.65,0.17,0.08,0.29,0.35
Receptionists and Information Clerks,High school diploma or equivalent,29950,0.3,0.34,0.39,0.45,0,0.05,0,0,0,0,0,0.23,0.3,0.18,0.41,0.41,0.43,0.17,0.21,0.22,0,0,0,0.07,0,0.32,0.18,0.25,0.67,0,0,0.16,0.16
"Recreation and Fitness Studies Teachers, Postsecondary",Doctoral or professional degree,72440,0.55,0.57,0.48,0.57,0,0.11,0,0,0,0,0,0.05,0.05,0.05,0.55,0.55,0.52,0.54,0.36,0.69,0.58,0.32,0.42,0.25,0.12,0.58,0.33,0.62,0.49,0.28,0,0.35,0.43
Recreation Workers,High school diploma or equivalent,29680,0.43,0.45,0.43,0.52,0.05,0.13,0,0,0,0,0,0.29,0.29,0.16,0.43,0.46,0.43,0.56,0.15,0.61,0.1,0.06,0,0.22,0,0.47,0.2,0.34,0.51,0.27,0.28,0.5,0.38
Recreational Therapists,Bachelor's degree,47940,0.48,0.48,0.5,0.57,0,0.13,0,0,0.07,0.07,0.11,0.37,0.37,0.25,0.57,0.57,0.5,0.77,0.37,0.86,0.28,0,0.15,0.13,0.09,0.55,0.21,0.43,0.54,0.22,0.31,0.49,0.55
Recreational Vehicle Service Technicians,High school diploma or equivalent,43560,0.41,0.45,0.41,0.5,0.37,0.5,0.55,0.45,0.23,0.18,0.23,0.45,0.52,0.5,0.48,0.46,0.5,0,0,0.15,0,0.18,0.43,0.71,0.44,0.33,0,0.17,0.2,0,0,0,0
Recycling and Reclamation Workers,No formal educational credential,31230,0.3,0.32,0.34,0.39,0.27,0.34,0.34,0.37,0.25,0.23,0.21,0.46,0.45,0.52,0.36,0.36,0.41,0.13,0.15,0.33,0,0.29,0.39,0.57,0.27,0.44,0.19,0.38,0.37,0,0,0,0.08
Recycling Coordinators,High school diploma or equivalent,54850,0.45,0.45,0.39,0.5,0,0.16,0,0,0.16,0.13,0.11,0.3,0.34,0.36,0.45,0.46,0.45,0.16,0.1,0.34,0.15,0.13,0.34,0.4,0.31,0.61,0.31,0.51,0.53,0,0,0,0.21
"Refractory Materials Repairers, Except Brickmasons",High school diploma or equivalent,54250,0.37,0.3,0.3,0.43,0.27,0.41,0.39,0.39,0.3,0.18,0.18,0.48,0.45,0.46,0.41,0.43,0.45,0,0,0,0,0.16,0.31,0.61,0.27,0.21,0,0.13,0,0,0,0,0
Refuse and Recyclable Material Collectors,No formal educational credential,38500,0.3,0.29,0.3,0.43,0.2,0.3,0.3,0.3,0.32,0.27,0.29,0.34,0.32,0.45,0.32,0.32,0.37,0,0,0.2,0.16,0.22,0,0.51,0,0,0,0.26,0.22,0,0,0,0
Registered Nurses,Bachelor's degree,77600,0.54,0.59,0.48,0.59,0.13,0.2,0,0,0,0,0,0.52,0.45,0.45,0.7,0.57,0.57,0.52,0.64,0.87,0.37,0,0,0.1,0,0.41,0,0.34,0.55,0.11,0,0.31,0.44
Regulatory Affairs Managers,Bachelor's degree,124650,0.57,0.55,0.48,0.59,0,0,0,0,0,0,0,0,0.16,0,0.55,0.57,0.5,0.17,0.45,0.29,0.6,0.31,0.44,0.27,0,0.64,0.16,0.52,0.65,0,0,0,0.16
Regulatory Affairs Specialists,Bachelor's degree,71650,0.59,0.55,0.55,0.61,0,0,0,0,0,0,0,0,0.23,0,0.55,0.59,0.55,0,0.41,0.21,0.55,0.18,0.36,0.12,0,0.58,0.13,0.29,0.59,0,0,0,0.11
Rehabilitation Counselors,Master's degree,38560,0.52,0.46,0.52,0.55,0,0,0,0,0,0,0,0.05,0.18,0,0.55,0.57,0.45,0.75,0.34,0.69,0.06,0,0.13,0,0,0.43,0.27,0.49,0.61,0.12,0,0.33,0.56
Reinforcing Iron and Rebar Workers,High school diploma or equivalent,48830,0.39,0.27,0.34,0.41,0.25,0.25,0.13,0.16,0.29,0.25,0.21,0.45,0.45,0.46,0.34,0.39,0.39,0.15,0,0.35,0,0.24,0.52,0.36,0.85,0.56,0,0.3,0,0,0,0,0.11
Remote Sensing Scientists and Technologists,Bachelor's degree,104100,0.57,0.55,0.57,0.61,0,0,0,0,0,0,0,0.27,0.34,0.25,0.63,0.64,0.57,0,0,0.14,0.57,0.59,0.57,0.25,0,0.49,0.2,0.39,0.38,0.32,0,0,0.33
Remote Sensing Technicians,Associate's degree,49030,0.52,0.5,0.48,0.55,0.34,0.34,0.21,0.29,0,0,0,0.34,0.41,0.39,0.54,0.55,0.55,0,0,0.26,0.16,0.24,0.57,0.16,0.15,0.43,0.2,0.28,0.51,0,0,0,0.17
Reservation and Transportation Ticket Agents and Travel Clerks,High school diploma or equivalent,39900,0.43,0.43,0.43,0.52,0,0.07,0,0,0.11,0,0,0.3,0.36,0.29,0.43,0.45,0.43,0.24,0,0.49,0,0,0,0.15,0,0.33,0.14,0.31,0.41,0.12,0,0.26,0.18
Residential Advisors,High school diploma or equivalent,31220,0.45,0.43,0.43,0.57,0,0.13,0,0,0.05,0.07,0.07,0.14,0.25,0.05,0.43,0.46,0.41,0.51,0.39,0.67,0.08,0,0.19,0.09,0,0.61,0.26,0.52,0.53,0.17,0.2,0.44,0.44
Respiratory Therapists,Associate's degree,61830,0.5,0.52,0.45,0.57,0.32,0.3,0.3,0.34,0.09,0.14,0.11,0.45,0.45,0.43,0.55,0.54,0.54,0.49,0.65,0.68,0.55,0.47,0.23,0.32,0,0.24,0.1,0.2,0.33,0,0,0.41,0.42
Retail Loss Prevention Specialists,High school diploma or equivalent,38210,0.43,0.43,0.41,0.52,0,0.27,0,0,0.16,0.2,0.23,0.27,0.32,0.27,0.5,0.45,0.43,0.36,0.24,0.43,0,0.13,0.23,0.22,0.16,0.52,0.31,0.47,0.59,0,0,0.25,0.26
Retail Salespersons,No formal educational credential,29120,0.39,0.41,0.36,0.45,0,0.13,0,0,0,0,0,0.29,0.32,0.29,0.41,0.43,0.41,0.17,0,0.42,0,0,0.2,0.24,0,0.42,0.24,0.24,0.46,0,0.11,0,0.23
Riggers,High school diploma or equivalent,48130,0.43,0.32,0.43,0.43,0.39,0.41,0.37,0.36,0.36,0.3,0.23,0.43,0.43,0.5,0.43,0.43,0.45,0,0.15,0.33,0.16,0.41,0.53,0.62,0.63,0.51,0.24,0.31,0.35,0.13,0,0,0.21
Robotics Engineers,Bachelor's degree,100640,0.59,0.64,0.59,0.66,0.59,0.55,0.54,0.54,0.11,0.05,0.07,0.43,0.52,0.46,0.64,0.68,0.64,0,0.15,0.19,0.22,0.72,0.88,0.8,0.35,0.5,0.33,0.33,0.46,0,0,0,0
Robotics Technicians,Associate's degree,60360,0.45,0.52,0.52,0.57,0.46,0.57,0.57,0.55,0.27,0.23,0.27,0.55,0.59,0.57,0.57,0.59,0.57,0,0,0.13,0.14,0.58,0.71,0.71,0.36,0.38,0.19,0.27,0.4,0,0,0,0
"Rock Splitters, Quarry",No formal educational credential,37700,0.32,0.3,0.36,0.37,0.25,0.32,0.25,0.29,0,0.18,0.11,0.48,0.45,0.46,0.39,0.39,0.41,0.27,0.3,0.19,0.22,0.38,0.35,0.42,0.27,0.35,0.29,0.31,0.26,0,0,0.23,0
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",High school diploma or equivalent,46210,0.41,0.43,0.39,0.43,0.34,0.43,0.41,0.43,0.21,0.27,0.23,0.45,0.45,0.55,0.41,0.43,0.43,0,0,0,0,0.22,0.35,0.65,0.18,0.41,0,0.23,0.13,0,0,0,0.08
"Roof Bolters, Mining",High school diploma or equivalent,59770,0.34,0.41,0.34,0.43,0.32,0.43,0.41,0.43,0.39,0.3,0.36,0.45,0.45,0.57,0.41,0.43,0.46,0,0,0.15,0,0.22,0.36,0.56,0.23,0.3,0.18,0.2,0.24,0,0,0,0
Roofers,No formal educational credential,47110,0.36,0.34,0.39,0.41,0.16,0.25,0.18,0.16,0.3,0.2,0.16,0.45,0.45,0.43,0.41,0.45,0.43,0.1,0.16,0.14,0,0.33,0.4,0.54,0.76,0.41,0.19,0.22,0.23,0,0,0,0.09
"Rotary Drill Operators, Oil and Gas",No formal educational credential,56380,0.43,0.43,0.45,0.46,0.32,0.43,0.46,0.45,0.3,0.21,0.21,0.43,0.45,0.54,0.46,0.48,0.54,0.21,0.23,0.38,0,0.29,0.36,0.71,0.25,0.41,0,0.47,0.24,0,0,0,0
"Roustabouts, Oil and Gas",No formal educational credential,38920,0.34,0.34,0.3,0.34,0.3,0.37,0.39,0.36,0.29,0.27,0.27,0.39,0.41,0.48,0.37,0.37,0.39,0,0.19,0.2,0.23,0.37,0.3,0.54,0.47,0.31,0,0.21,0,0,0,0,0.2
Sailors and Marine Oilers,No formal educational credential,46720,0.43,0.41,0.41,0.43,0.36,0.45,0.45,0.43,0.5,0.36,0.41,0.45,0.45,0.54,0.43,0.43,0.45,0.08,0.25,0.19,0,0.37,0.34,0.47,0.18,0.51,0,0,0.25,0,0,0,0
Sales Engineers,Bachelor's degree,103710,0.57,0.55,0.54,0.57,0.11,0.34,0,0,0,0,0,0.25,0.3,0.29,0.57,0.57,0.57,0,0,0.19,0,0.27,0.6,0.48,0,0.48,0.31,0.42,0.43,0,0,0,0.23
Sales Managers,Bachelor's degree,127490,0.57,0.55,0.55,0.57,0,0,0,0,0,0,0,0.07,0.18,0.13,0.57,0.63,0.48,0.15,0,0.42,0,0.13,0.29,0.2,0.16,0.75,0.53,0.56,0.61,0,0.09,0.17,0.24
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",High school diploma or equivalent,61600,0.43,0.46,0.43,0.54,0,0,0,0,0.11,0.11,0.07,0.25,0.29,0.27,0.45,0.46,0.45,0,0,0.24,0,0,0,0,0,0.57,0.34,0,0.29,0,0,0,0.18
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Bachelor's degree,94840,0.48,0.54,0.45,0.54,0.09,0,0,0,0,0,0,0,0.29,0.27,0.46,0.55,0.46,0.14,0.12,0.36,0,0,0.38,0.23,0.16,0.51,0.28,0.23,0.47,0,0,0.13,0.22
"Sawing Machine Setters, Operators, and Tenders, Wood",High school diploma or equivalent,35340,0.34,0.29,0.32,0.39,0.27,0.37,0.36,0.37,0.11,0.16,0.11,0.45,0.45,0.5,0.41,0.39,0.41,0,0,0.18,0,0,0.25,0.48,0.26,0.13,0,0,0,0,0,0,0
School Psychologists,Master's degree,78780,0.57,0.55,0.57,0.59,0,0,0,0,0,0,0,0,0.25,0,0.63,0.59,0.5,0.87,0.26,0.91,0.21,0,0.11,0.12,0,0.3,0,0.28,0.66,0,0,0.36,0.73
Search Marketing Strategists,Bachelor's degree,63920,0.54,0.55,0.59,0.55,0,0,0,0,0,0,0,0.07,0.18,0.07,0.55,0.55,0.5,0,0,0.44,0,0,0.3,0,0,0.52,0.27,0.3,0.63,0,0.08,0.18,0.42
"Secondary School Teachers, Except Special and Career/Technical Education",Bachelor's degree,61820,0.52,0.54,0.5,0.55,0.05,0,0,0,0,0,0,0.07,0.23,0,0.52,0.59,0.45,0.41,0.25,0.57,0.33,0.24,0.26,0.16,0.11,0.37,0.15,0.46,0.52,0.42,0.31,0.46,0.52
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",High school diploma or equivalent,37880,0.37,0.43,0.37,0.52,0,0,0,0,0,0,0,0.18,0.23,0.14,0.41,0.41,0.45,0.2,0.22,0.29,0,0,0,0,0,0.45,0.37,0.37,0.83,0,0,0.14,0.2
"Securities, Commodities, and Financial Services Sales Agents",Bachelor's degree,62910,0.54,0.53,0.47,0.6,0,0,0,0,0,0,0,0,0.24,0,0.55,0.62,0.49,0,0,0,0,0,0.23,0,0,0.49,0.6,0.32,0.52,0.16,0,0,0
Security and Fire Alarm Systems Installers,High school diploma or equivalent,48320,0.43,0.43,0.43,0.5,0.29,0.46,0.39,0.37,0.21,0.14,0.2,0.45,0.46,0.43,0.45,0.45,0.43,0,0,0,0,0.28,0.44,0.52,0.55,0.33,0.16,0.15,0.27,0,0,0,0
Security Guards,High school diploma or equivalent,31470,0.32,0.36,0.32,0.41,0,0.16,0,0,0.29,0.2,0.21,0.25,0.25,0.29,0.43,0.43,0.41,0.25,0.22,0.45,0.11,0,0.1,0.11,0,0.19,0,0.21,0.31,0.1,0,0.19,0.24
Segmental Pavers,High school diploma or equivalent,39850,0.37,0.36,0.39,0.43,0.29,0.36,0.29,0.3,0.29,0.23,0.18,0.45,0.39,0.48,0.41,0.43,0.45,0.17,0.17,0.21,0.13,0.24,0.43,0.56,0.48,0.44,0.12,0,0,0.1,0,0.14,0
Self-Enrichment Teachers,High school diploma or equivalent,43580,0.43,0.45,0.41,0.45,0,0.09,0,0,0,0,0,0.25,0.27,0.18,0.43,0.45,0.45,0.2,0.12,0.44,0.08,0,0,0.2,0,0.26,0,0.21,0.31,0,0.3,0.21,0.38
Semiconductor Processing Technicians,High school diploma or equivalent,39870,0.41,0.32,0.39,0.41,0.3,0.39,0.37,0.41,0.16,0.11,0.11,0.48,0.52,0.46,0.43,0.45,0.46,0,0,0.09,0,0.13,0.32,0.25,0,0.35,0,0.1,0.17,0,0,0.18,0
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",High school diploma or equivalent,46030,0.39,0.41,0.41,0.43,0.27,0.37,0.37,0.37,0.3,0.25,0.21,0.43,0.43,0.43,0.43,0.43,0.43,0,0,0.25,0.24,0.37,0.36,0.54,0.23,0.32,0.11,0.21,0.25,0,0,0,0.13
Septic Tank Servicers and Sewer Pipe Cleaners,High school diploma or equivalent,44810,0.39,0.37,0.43,0.43,0.27,0.43,0.45,0.41,0.36,0.29,0.29,0.43,0.43,0.52,0.43,0.43,0.41,0,0.11,0.23,0.26,0.37,0.43,0.58,0.41,0.44,0.18,0.32,0.34,0,0,0,0
"Service Unit Operators, Oil and Gas",No formal educational credential,48410,0.37,0.43,0.43,0.46,0.36,0.45,0.45,0.46,0.32,0.27,0.34,0.43,0.45,0.55,0.45,0.46,0.43,0,0.21,0.44,0.19,0.51,0.67,0.74,0.38,0.53,0.23,0.36,0.37,0,0,0,0.18
Set and Exhibit Designers,Bachelor's degree,54860,0.45,0.45,0.55,0.54,0.2,0.14,0.05,0.07,0.14,0.05,0.09,0.37,0.41,0.37,0.5,0.54,0.54,0,0.07,0.39,0,0.37,0.5,0.48,0.61,0.51,0.22,0.33,0.31,0.61,0.94,0.43,0.44
"Sewers, Hand",No formal educational credential,29930,0.34,0.3,0.34,0.34,0,0.23,0,0,0,0,0,0.57,0.61,0.43,0.38,0.36,0.39,0,0,0.29,0,0,0.23,0.32,0,0.4,0.29,0.25,0.47,0.12,0.35,0,0.23
Sewing Machine Operators,No formal educational credential,29690,0.29,0.27,0.3,0.3,0.11,0.29,0.14,0.18,0,0,0,0.54,0.46,0.46,0.3,0.39,0.37,0,0,0.12,0,0,0,0.19,0,0.17,0,0.12,0,0,0,0,0
Shampooers,No formal educational credential,24440,0.3,0.29,0.27,0.3,0,0.09,0,0,0,0,0,0.39,0.39,0.3,0.34,0.34,0.29,0,0,0.23,0.14,0,0,0,0,0.16,0,0.09,0,0,0,0,0.2
Sheet Metal Workers,High school diploma or equivalent,53440,0.41,0.34,0.39,0.43,0.32,0.37,0.37,0.37,0.29,0.2,0.14,0.45,0.45,0.48,0.41,0.43,0.43,0,0,0.15,0,0.25,0.4,0.6,0.56,0.42,0,0.27,0,0,0,0,0
Ship Engineers,Postsecondary nondegree award,82410,0.46,0.45,0.48,0.54,0.43,0.54,0.54,0.52,0.21,0.14,0.27,0.46,0.46,0.55,0.55,0.54,0.54,0,0.3,0.37,0.15,0.49,0.63,0.82,0.39,0.63,0.19,0.21,0.45,0,0,0,0
"Shipping, Receiving, and Inventory Clerks",High school diploma or equivalent,36890,0.39,0.3,0.32,0.43,0,0.18,0,0,0.14,0.23,0.14,0.36,0.34,0.34,0.41,0.41,0.43,0.17,0.09,0.29,0,0.12,0.29,0.33,0.18,0.41,0.38,0.32,0.59,0,0,0,0.19
Shoe and Leather Workers and Repairers,High school diploma or equivalent,31450,0.34,0.25,0.29,0.37,0.21,0.23,0,0,0,0,0,0.54,0.43,0.36,0.34,0.36,0.38,0,0,0.18,0,0,0.23,0.37,0,0.29,0.15,0.13,0.24,0,0,0,0
Shoe Machine Operators and Tenders,High school diploma or equivalent,28560,0.34,0.25,0.36,0.34,0.36,0.36,0.32,0.37,0.14,0,0,0.48,0.48,0.46,0.38,0.38,0.43,0,0,0,0,0,0,0.45,0,0.25,0,0,0,0,0,0,0
Signal and Track Switch Repairers,High school diploma or equivalent,80570,0.41,0.43,0.43,0.48,0.39,0.57,0.55,0.55,0.36,0.3,0.3,0.46,0.54,0.54,0.48,0.54,0.43,0,0.1,0,0,0.21,0.55,0.68,0.63,0.25,0.09,0.16,0.15,0,0,0,0
Skincare Specialists,Postsecondary nondegree award,37300,0.45,0.41,0.41,0.43,0.14,0.07,0,0,0,0,0,0.46,0.41,0.37,0.43,0.43,0.41,0.25,0.24,0.28,0.26,0.05,0.12,0.14,0,0.1,0,0.35,0.24,0,0,0,0.05
Slaughterers and Meat Packers,No formal educational credential,29900,0.25,0.21,0.25,0.27,0.07,0.2,0.11,0.11,0.05,0,0,0.43,0.43,0.45,0.29,0.29,0.36,0,0,0.12,0.26,0.16,0.27,0.28,0,0.29,0.18,0.21,0.29,0,0,0,0
Social and Community Service Managers,Bachelor's degree,74000,0.59,0.55,0.59,0.59,0,0.11,0,0,0,0,0,0.18,0.27,0.18,0.55,0.59,0.5,0.64,0.21,0.68,0.13,0.12,0.16,0.18,0.17,0.66,0.43,0.62,0.64,0.13,0.11,0.43,0.59
Social and Human Service Assistants,High school diploma or equivalent,37610,0.46,0.46,0.45,0.57,0,0,0,0,0.07,0.07,0,0.13,0.18,0.18,0.48,0.57,0.43,0.71,0.27,0.72,0,0,0,0,0,0.27,0.09,0.16,0.49,0,0,0.48,0.49
Social Science Research Assistants,Bachelor's degree,49720,0.45,0.52,0.45,0.55,0.07,0.2,0,0,0,0,0,0,0.34,0,0.5,0.54,0.48,0.21,0.13,0.38,0.23,0,0,0,0,0.38,0.34,0.28,0.65,0.15,0,0.24,0.37
"Social Work Teachers, Postsecondary",Doctoral or professional degree,71010,0.57,0.7,0.55,0.61,0,0,0,0,0,0,0,0,0.13,0,0.57,0.61,0.55,0.83,0.24,0.79,0.25,0,0,0,0,0.57,0.17,0.54,0.61,0.37,0,0.61,0.82
