"occupation","active_listening","pure_mathematics","reading_comprehension","natural_science","speaking","writing","active_learning","critical_thinking","learning_strategies","monitoring","complex_problem_solving","management_of_financial_resources","management_of_material_resources","management_of_personal_resources","time_management","coordination","instructing","negotiation","persuasion","service_orientation","social_perceptiveness","judgment_and_decision","systems_analysis","systems_evaluation","installation","quality_control_analysis","technology_design","equipment_selection","equipment_maintenance","programming","troubleshooting","operations_monitoring","repairing","operation_and_control","operations_analysis","multitasking","selective_attention","problem_sensitivity","fluency_of_ideas","originality","deductive_reasoning","inductive_reasoning","category_flexibility","information_ordering","perceptual_speed","flexibility_of_closure","speed_of_closure","number_facility","mathematical_reasoning","spatial_orientation","visualization","written_expression","oral_expression","oral_comprehension","written_comprehension","memorization","dynamic_flexibility","gross_body_equilibrium","extent_flexibility","gross_body_coordination","explosive_strength","static_strength","dynamic_strength","trunk_strength","stamina","response_orientation","control_precision","multilimb_coordination","rate_control","arm_hand_steadiness","finger_dexterity","manual_dexterity","speed_of_limb_movement","wrist_finger_speed","reaction_time","speech_clarity","auditory_attention","speech_recognition","sound_localization","hearing_sensitivity","far_vision","glare_sensitivity","night_vision","depth_perception","visual_color_discrimination","peripheral_vision","near_vision","native_language","history_and_archeology","foreign_language","philosophy_and_theology","fine_arts","administration_and_management","economics_and_accounting","customer_and_personal_service","personnel_and_human_resources","administrative","sales_and_marketing","communications_and_media","telecommunications","building_and_construction","engineering_and_technology","mechanical","industrial_design","computers_and_electronics","education_and_training","therapy_and_counseling","medicine_and_dentistry","public_safety_and_security","law_and_government","food_production","production_and_processing","geography","chemistry","applied_mathematics","physics","sociology_and_anthropology","biology","psychology","transportation"
"Service Unit Operators, Oil and Gas",0.43,0.34,0.43,0.05,0.43,0.43,0.43,0.46,0.34,0.48,0.43,0.16,0.25,0.36,0.41,0.43,0.36,0.34,0.37,0.36,0.39,0.37,0.34,0.36,0.3,0.45,0.07,0.36,0.46,0.13,0.45,0.52,0.45,0.5,0.13,0.41,0.45,0.5,0.32,0.34,0.46,0.45,0.43,0.43,0.48,0.41,0.39,0.37,0.34,0.3,0.46,0.41,0.52,0.5,0.41,0.3,0,0.41,0.43,0.39,0,0.43,0.3,0.43,0.36,0.45,0.55,0.52,0.43,0.43,0.45,0.45,0.32,0.34,0.46,0.45,0.46,0.45,0.34,0.45,0.45,0.32,0.29,0.48,0.45,0.27,0.46,0.45,0,0,0,0,0.53,0.23,0.67,0.36,0.37,0.46,0.21,0.13,0.38,0.67,0.74,0.44,0.42,0.53,0,0.21,0.48,0.28,0,0.49,0.26,0.45,0.6,0.51,0.18,0.19,0.44,0.5
"Set and Exhibit Designers",0.55,0.48,0.57,0.13,0.52,0.45,0.45,0.54,0.39,0.5,0.55,0.39,0.39,0.48,0.52,0.5,0.43,0.43,0.46,0.45,0.45,0.45,0.43,0.41,0.09,0.32,0.23,0.2,0.07,0.13,0.14,0.27,0.05,0.18,0.54,0.39,0.43,0.55,0.59,0.55,0.54,0.5,0.5,0.54,0.43,0.43,0.39,0.39,0.39,0.25,0.64,0.54,0.57,0.59,0.55,0.36,0,0.21,0.11,0.11,0,0.21,0.11,0.32,0.11,0.13,0.37,0.21,0.13,0.37,0.41,0.39,0.13,0.14,0.2,0.54,0.29,0.55,0.09,0.27,0.5,0.14,0.05,0.29,0.41,0.05,0.54,0.52,0.61,0.19,0.43,0.94,0.51,0.22,0.39,0.33,0.31,0.3,0.48,0.22,0.61,0.5,0.48,0.82,0.67,0.5,0,0.07,0.33,0.18,0,0.49,0.39,0.26,0.46,0.37,0.44,0,0.39,0.22
"Sewers, Hand",0.34,0.3,0.32,0,0.27,0.32,0.3,0.34,0.32,0.37,0.34,0.21,0.29,0.32,0.36,0.27,0.37,0.29,0.27,0.3,0.29,0.34,0.27,0.25,0,0.29,0.14,0,0,0,0.23,0.3,0,0.32,0.23,0.27,0.36,0.36,0.32,0.34,0.36,0.38,0.41,0.39,0.38,0.36,0.29,0.3,0.25,0,0.48,0.27,0.34,0.34,0.34,0.21,0,0,0,0,0,0.25,0,0.11,0,0.29,0.43,0.41,0.25,0.57,0.61,0.54,0,0.41,0.25,0.27,0.29,0.36,0,0.29,0.41,0,0,0.36,0.45,0,0.5,0.43,0.12,0,0,0.35,0.4,0.29,0.57,0.25,0.47,0.52,0.28,0.1,0,0.23,0.32,0.49,0.27,0.35,0,0,0.13,0.24,0,0.45,0,0.16,0.45,0,0.23,0,0.29,0.18
"Sewing Machine Operators",0.3,0.27,0.3,0,0.27,0.29,0.27,0.3,0.29,0.36,0.3,0.13,0.11,0.21,0.3,0.25,0.27,0.21,0.21,0.21,0.27,0.29,0.23,0.16,0,0.37,0,0.11,0.18,0,0.29,0.3,0.14,0.32,0.09,0.3,0.36,0.39,0.2,0.18,0.39,0.3,0.41,0.37,0.37,0.37,0.29,0.23,0.23,0,0.43,0.27,0.36,0.34,0.36,0.14,0,0.14,0.32,0.23,0.07,0.3,0.29,0.3,0.23,0.32,0.46,0.43,0.43,0.54,0.46,0.46,0.13,0.3,0.43,0.25,0.3,0.3,0,0.3,0.39,0,0,0.39,0.41,0,0.48,0.35,0,0,0,0,0.17,0,0.2,0.12,0,0,0,0,0,0,0.19,0.11,0.19,0.25,0,0,0.22,0,0,0.25,0,0,0.26,0,0,0,0.12,0.12
"Shampooers",0.37,0.16,0.32,0,0.36,0.29,0.29,0.3,0.25,0.34,0.27,0.07,0.05,0.23,0.32,0.37,0.29,0.23,0.23,0.39,0.37,0.3,0.11,0.11,0,0.09,0.05,0,0,0,0.09,0.23,0,0,0,0.32,0.34,0.32,0.25,0.23,0.34,0.34,0.32,0.29,0.23,0.25,0.2,0.13,0.11,0,0.23,0.29,0.41,0.37,0.36,0.2,0,0.05,0.34,0.14,0,0.21,0.29,0.39,0.27,0,0.3,0.25,0,0.39,0.39,0.41,0,0.16,0,0.36,0.18,0.39,0,0.18,0.25,0,0,0.11,0.29,0,0.41,0.48,0,0.07,0,0,0.16,0,0.61,0.09,0,0.49,0.24,0,0,0,0,0,0,0.34,0,0,0.41,0,0,0.24,0,0.42,0.22,0,0.2,0.14,0.23,0
"Sheet Metal Workers",0.37,0.46,0.37,0.11,0.41,0.3,0.34,0.43,0.34,0.43,0.39,0.11,0.2,0.41,0.41,0.46,0.43,0.23,0.25,0.27,0.29,0.41,0.29,0.29,0.3,0.46,0.29,0.32,0.37,0,0.37,0.37,0.37,0.39,0.27,0.41,0.45,0.41,0.39,0.32,0.43,0.41,0.45,0.43,0.43,0.41,0.29,0.32,0.37,0.3,0.57,0.3,0.45,0.46,0.43,0.29,0.07,0.41,0.45,0.37,0.14,0.45,0.36,0.46,0.37,0.37,0.48,0.43,0.39,0.45,0.45,0.46,0.39,0.34,0.43,0.39,0.46,0.41,0.14,0.29,0.43,0.29,0.14,0.43,0.32,0.2,0.48,0.38,0,0,0,0,0.42,0,0.38,0.27,0,0.26,0,0,0.56,0.4,0.6,0.5,0.25,0.38,0,0,0.31,0,0,0.43,0.14,0.19,0.48,0.25,0,0,0.15,0.19
"Ship Engineers",0.5,0.34,0.48,0.36,0.45,0.41,0.45,0.54,0.37,0.52,0.48,0.13,0.21,0.46,0.48,0.48,0.45,0.29,0.3,0.37,0.39,0.46,0.43,0.41,0,0.46,0.11,0.43,0.52,0.11,0.54,0.54,0.54,0.52,0.18,0.43,0.55,0.59,0.43,0.45,0.54,0.55,0.46,0.54,0.46,0.45,0.43,0.36,0.34,0.21,0.52,0.5,0.57,0.59,0.57,0.32,0,0.3,0.5,0.3,0.14,0.41,0.29,0.43,0.34,0.41,0.55,0.46,0.41,0.46,0.46,0.46,0.13,0.29,0.45,0.46,0.48,0.46,0.27,0.48,0.43,0.21,0.14,0.32,0.48,0.14,0.55,0.41,0,0,0,0,0.63,0.19,0.55,0.21,0.45,0,0.26,0.37,0.39,0.63,0.82,0.44,0.5,0.48,0,0.3,0.49,0.45,0,0.25,0.36,0.52,0.52,0.49,0,0.15,0.37,0.56
"Shipping, Receiving, and Inventory Clerks",0.43,0.32,0.45,0,0.43,0.39,0.3,0.43,0.32,0.43,0.32,0.16,0.16,0.3,0.34,0.41,0.32,0.3,0.3,0.32,0.36,0.39,0.32,0.23,0,0.29,0.13,0,0,0.09,0.18,0.3,0,0.29,0.09,0.32,0.34,0.43,0.3,0.3,0.41,0.41,0.43,0.43,0.41,0.34,0.3,0.34,0.3,0.2,0.37,0.37,0.45,0.45,0.43,0.3,0,0.21,0.41,0.27,0.16,0.41,0.25,0.41,0.3,0.25,0.34,0.34,0.27,0.36,0.34,0.41,0.18,0.27,0.27,0.43,0.3,0.41,0.14,0.27,0.41,0.14,0.14,0.3,0.34,0.23,0.46,0.44,0,0.11,0,0,0.41,0.38,0.44,0.32,0.59,0.26,0.32,0.24,0.18,0.29,0.33,0.18,0.49,0.46,0.17,0.09,0.39,0,0.1,0.43,0.19,0,0.39,0.12,0.19,0,0.29,0.44
"Shoe Machine Operators and Tenders",0.39,0.23,0.39,0,0.37,0.25,0.25,0.34,0.16,0.41,0.36,0.14,0.13,0.25,0.37,0.27,0.2,0.18,0.23,0.2,0.27,0.34,0.23,0,0,0.43,0.07,0.36,0.37,0,0.36,0.41,0.32,0.43,0.18,0.25,0.41,0.38,0.3,0.27,0.38,0.38,0.41,0.43,0.38,0.38,0.27,0.27,0.25,0,0.39,0.29,0.43,0.41,0.43,0.16,0,0.21,0.43,0.21,0,0.32,0.29,0.41,0.32,0.3,0.46,0.39,0.39,0.48,0.48,0.45,0,0.32,0.41,0.38,0.3,0.34,0,0.38,0.39,0.14,0,0.36,0.3,0,0.5,0.38,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.45,0.34,0,0.56,0,0,0.35,0.22,0,0.48,0,0.34,0.26,0,0,0,0,0
"Shoe and Leather Workers and Repairers",0.32,0.14,0.32,0,0.3,0.21,0.25,0.37,0,0.36,0.29,0,0.11,0.25,0.3,0.3,0.23,0.2,0.3,0.34,0.32,0.34,0.2,0,0,0.34,0,0.21,0,0,0.23,0.32,0,0.32,0.16,0.27,0.32,0.36,0.13,0.13,0.36,0.34,0.38,0.38,0.3,0.29,0.21,0.2,0.16,0,0.39,0.3,0.38,0.41,0.36,0.11,0,0.13,0.27,0.16,0.09,0.3,0.25,0.34,0.25,0.25,0.36,0.32,0.25,0.54,0.43,0.43,0.09,0.3,0.34,0.34,0.27,0.36,0,0.34,0.34,0,0,0.29,0.38,0,0.46,0.36,0,0.17,0,0,0.29,0.15,0.39,0.13,0.24,0.23,0.09,0,0,0.23,0.37,0.18,0,0.3,0,0,0,0.17,0,0.28,0,0.21,0.32,0,0,0,0.18,0.19
"Signal and Track Switch Repairers",0.43,0.32,0.41,0.13,0.36,0.43,0.43,0.48,0.39,0.45,0.43,0.11,0.13,0.3,0.43,0.39,0.39,0.3,0.3,0.3,0.3,0.41,0.32,0.32,0.37,0.55,0.09,0.39,0.55,0.13,0.57,0.54,0.55,0.43,0,0.43,0.45,0.48,0.34,0.29,0.54,0.48,0.43,0.43,0.46,0.52,0.39,0.3,0.36,0.39,0.52,0.43,0.43,0.54,0.43,0.39,0,0.32,0.41,0.3,0.11,0.41,0.32,0.45,0.34,0.41,0.54,0.45,0.32,0.46,0.54,0.48,0.27,0.29,0.46,0.37,0.43,0.41,0.3,0.43,0.5,0.36,0.29,0.41,0.54,0.3,0.52,0.44,0,0,0,0,0.25,0.09,0.2,0.16,0.15,0,0.27,0.42,0.63,0.55,0.68,0.44,0.46,0.38,0,0.1,0.58,0.4,0,0.33,0.2,0.24,0.44,0.21,0,0,0,0.49
"Skincare Specialists",0.45,0.09,0.45,0.09,0.43,0.39,0.41,0.43,0.39,0.43,0.41,0,0.07,0.29,0.39,0.41,0.39,0.34,0.36,0.48,0.41,0.45,0.27,0.27,0,0.16,0.05,0.14,0,0,0.07,0.23,0,0.13,0.25,0.34,0.39,0.43,0.43,0.41,0.43,0.43,0.43,0.41,0.29,0.3,0.27,0.14,0.09,0,0.3,0.41,0.54,0.54,0.46,0.18,0,0,0.29,0.07,0,0.27,0.23,0.29,0.25,0,0.37,0.29,0,0.46,0.41,0.41,0,0.13,0,0.41,0.16,0.43,0,0.2,0.29,0,0,0.23,0.43,0,0.54,0.46,0,0,0,0,0.1,0,0.7,0.35,0.24,0.51,0.22,0.09,0,0.12,0.14,0,0.14,0.52,0.25,0.24,0.39,0.13,0,0,0,0.45,0.2,0.05,0.05,0.26,0.28,0
"Slaughterers and Meat Packers",0.32,0.11,0.25,0,0.27,0.14,0.21,0.27,0.18,0.27,0.25,0.07,0.09,0.21,0.27,0.27,0.23,0.16,0.13,0.25,0.25,0.25,0.16,0.16,0,0.29,0,0.07,0.11,0,0.2,0.29,0.11,0.3,0,0.25,0.36,0.34,0.13,0.13,0.29,0.29,0.29,0.36,0.29,0.21,0.13,0.14,0.13,0,0.25,0.2,0.37,0.39,0.25,0.13,0.09,0.16,0.39,0.27,0.16,0.45,0.3,0.43,0.3,0.23,0.45,0.41,0.3,0.43,0.43,0.43,0.18,0.34,0.43,0.27,0.37,0.29,0,0.21,0.3,0.05,0,0.23,0.2,0,0.43,0.36,0,0.16,0,0,0.29,0.18,0.52,0.21,0.29,0.33,0,0,0,0.27,0.28,0,0.25,0.19,0,0,0.33,0.33,0.58,0.45,0.1,0,0.37,0.16,0,0.26,0.12,0.15
"Social Science Research Assistants",0.59,0.55,0.68,0.48,0.54,0.55,0.52,0.55,0.45,0.45,0.45,0.21,0.29,0.34,0.41,0.43,0.41,0.34,0.36,0.36,0.41,0.45,0.41,0.43,0,0.41,0.18,0.07,0,0.39,0.2,0.27,0,0.09,0.29,0.29,0.45,0.5,0.43,0.43,0.54,0.5,0.45,0.48,0.37,0.45,0.36,0.45,0.45,0,0.39,0.55,0.61,0.59,0.61,0.39,0,0,0,0,0,0,0.05,0.2,0,0,0,0,0,0,0.34,0,0,0.07,0,0.5,0.21,0.43,0,0.21,0.41,0,0,0.21,0.25,0,0.54,0.67,0.15,0,0.24,0,0.38,0.34,0.48,0.28,0.65,0.21,0.25,0.15,0,0,0,0,0.6,0.46,0.21,0.13,0.2,0.26,0,0,0.16,0.17,0.58,0,0.37,0.23,0.38,0.14
"Social Work Teachers, Postsecondary",0.59,0.37,0.7,0.37,0.7,0.68,0.7,0.61,0.7,0.55,0.55,0.13,0.21,0.41,0.52,0.54,0.7,0.43,0.43,0.52,0.55,0.57,0.45,0.48,0,0.07,0.13,0,0,0.14,0,0.07,0,0,0.41,0.32,0.36,0.54,0.52,0.52,0.61,0.57,0.46,0.55,0.29,0.34,0.3,0.29,0.34,0,0.29,0.71,0.71,0.7,0.7,0.41,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.13,0,0,0.09,0,0.73,0.21,0.57,0,0.13,0.43,0,0,0.07,0.14,0,0.52,0.74,0.37,0.24,0.61,0,0.57,0.17,0.64,0.54,0.61,0.37,0.69,0.26,0,0,0,0,0.6,0.95,0.83,0.24,0.37,0.51,0,0,0.39,0,0.51,0,0.82,0.25,0.79,0
"Social and Community Service Managers",0.61,0.45,0.59,0.29,0.59,0.57,0.55,0.59,0.54,0.57,0.59,0,0.34,0.63,0.57,0.57,0.55,0.54,0.54,0.57,0.66,0.59,0.54,0.55,0,0.23,0.16,0,0,0.13,0.11,0.32,0,0.23,0.48,0.45,0.43,0.57,0.54,0.54,0.59,0.55,0.48,0.5,0.39,0.43,0.41,0.48,0.48,0,0.37,0.59,0.66,0.66,0.57,0.39,0,0,0.05,0,0,0,0,0.13,0.05,0,0.18,0.11,0,0.18,0.27,0.09,0,0.09,0,0.61,0.29,0.57,0,0.29,0.41,0,0,0.18,0.3,0,0.52,0.65,0.13,0.19,0.43,0.11,0.66,0.43,0.85,0.62,0.64,0.42,0.41,0.21,0.17,0.16,0.18,0.15,0.52,0.75,0.64,0.21,0.51,0.42,0,0.28,0.23,0.19,0.58,0.12,0.59,0.13,0.68,0.24
"Social and Human Service Assistants",0.57,0.29,0.57,0.21,0.59,0.55,0.46,0.57,0.43,0.54,0.45,0.18,0.2,0.34,0.45,0.48,0.45,0.43,0.48,0.57,0.59,0.46,0.45,0.43,0,0.18,0.13,0,0,0.13,0,0.2,0,0.23,0.2,0.43,0.45,0.55,0.5,0.46,0.57,0.48,0.45,0.43,0.37,0.45,0.41,0.32,0.29,0.11,0.3,0.55,0.57,0.57,0.55,0.41,0,0.11,0.13,0.13,0.11,0.18,0.16,0.27,0.13,0.14,0.18,0.25,0,0.13,0.18,0.07,0,0,0.14,0.54,0.27,0.52,0,0.29,0.39,0.07,0,0.25,0.25,0.07,0.55,0.57,0,0.16,0.48,0,0.27,0.09,0.77,0.16,0.49,0,0.21,0.13,0,0,0,0,0.56,0.55,0.71,0.27,0.3,0.38,0,0,0.1,0.11,0.27,0,0.49,0,0.72,0.15
"Sociologists",0.66,0.48,0.7,0.52,0.64,0.68,0.59,0.61,0.57,0.55,0.54,0.13,0.21,0.43,0.43,0.45,0.55,0.43,0.45,0.45,0.61,0.54,0.52,0.43,0,0.07,0.09,0,0,0.11,0,0.05,0,0,0.36,0.3,0.39,0.54,0.52,0.55,0.61,0.59,0.52,0.5,0.29,0.41,0.27,0.36,0.5,0,0.29,0.7,0.71,0.71,0.66,0.37,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.07,0,0,0,0,0.66,0.16,0.55,0,0.11,0.3,0,0,0,0.2,0,0.5,0.79,0.63,0.35,0.68,0.12,0.56,0.23,0.38,0.5,0.55,0.15,0.56,0.12,0,0,0,0,0.58,0.84,0.21,0.1,0.19,0.52,0,0,0.55,0,0.69,0,0.95,0.13,0.55,0
"Sociology Teachers, Postsecondary",0.59,0.46,0.7,0.54,0.68,0.68,0.63,0.59,0.7,0.55,0.54,0.11,0.13,0.37,0.52,0.41,0.66,0.39,0.41,0.43,0.55,0.57,0.46,0.46,0,0.07,0.05,0,0,0.07,0,0.05,0,0,0.36,0.29,0.37,0.5,0.46,0.45,0.59,0.59,0.45,0.46,0.3,0.32,0.3,0.32,0.37,0,0.16,0.71,0.71,0.71,0.7,0.43,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0.09,0,0,0.05,0,0.7,0.09,0.55,0,0.07,0.43,0,0,0,0.13,0,0.54,0.93,0.72,0.28,0.8,0.2,0.39,0.21,0.61,0.43,0.6,0.21,0.55,0.28,0,0,0.1,0,0.72,0.9,0.46,0.18,0.25,0.54,0,0.15,0.63,0,0.7,0.1,0.91,0.16,0.74,0.18
"Software Quality Assurance Analysts and Testers",0.55,0.32,0.57,0.46,0.5,0.55,0.43,0.55,0.41,0.54,0.46,0.05,0.09,0.32,0.43,0.43,0.41,0.3,0.39,0.39,0.41,0.52,0.45,0.55,0.29,0.52,0.39,0.25,0,0.5,0.43,0.3,0,0.23,0.48,0.32,0.43,0.54,0.46,0.46,0.57,0.57,0.48,0.57,0.37,0.45,0.34,0.36,0.41,0,0.39,0.55,0.55,0.55,0.57,0.32,0,0,0,0,0,0,0,0.11,0,0,0.25,0,0,0.27,0.3,0.25,0,0.13,0,0.43,0.29,0.43,0,0.29,0.34,0,0,0.14,0.32,0,0.54,0.61,0,0.13,0,0,0.42,0.15,0.43,0.22,0.39,0.11,0.3,0.23,0,0.52,0.11,0.4,0.76,0.48,0,0,0.14,0.13,0,0.19,0,0,0.53,0.1,0.17,0,0.25,0
"Soil and Plant Scientists",0.59,0.55,0.71,0.7,0.66,0.63,0.64,0.63,0.55,0.59,0.61,0.23,0.29,0.37,0.41,0.43,0.45,0.39,0.45,0.41,0.43,0.61,0.55,0.55,0,0.43,0.21,0,0,0.29,0.14,0.41,0,0.32,0.54,0.39,0.43,0.63,0.59,0.57,0.7,0.71,0.59,0.59,0.43,0.5,0.43,0.45,0.52,0.16,0.41,0.68,0.71,0.73,0.73,0.41,0,0.09,0.25,0.13,0,0.27,0.16,0.32,0.23,0.14,0.29,0.29,0.09,0.3,0.37,0.27,0.07,0.16,0.11,0.55,0.29,0.52,0.09,0.25,0.43,0.13,0.13,0.3,0.41,0.13,0.55,0.67,0.25,0.22,0,0.11,0.61,0.35,0.56,0.51,0.54,0.38,0.45,0.31,0.32,0.59,0.52,0.5,0.69,0.71,0,0.08,0.33,0.48,0.52,0.43,0.68,0.69,0.73,0.57,0.21,0.77,0.29,0.26
"Solar Energy Installation Managers",0.54,0.46,0.54,0.13,0.52,0.48,0.46,0.54,0.43,0.52,0.5,0.39,0.43,0.55,0.55,0.55,0.5,0.52,0.5,0.45,0.5,0.48,0.46,0.45,0,0.45,0,0.3,0.32,0.14,0.39,0.45,0.36,0.37,0,0.43,0.45,0.54,0.46,0.48,0.52,0.5,0.45,0.46,0.45,0.45,0.39,0.45,0.46,0.2,0.48,0.55,0.55,0.55,0.55,0.37,0,0.37,0.37,0.36,0,0.34,0.29,0.39,0.34,0.3,0.41,0.39,0.3,0.39,0.46,0.39,0.23,0.21,0.32,0.52,0.39,0.52,0.21,0.39,0.45,0.29,0.16,0.41,0.46,0.21,0.52,0.5,0,0.16,0,0,0.63,0.36,0.73,0.43,0.46,0.52,0.27,0.29,0.7,0.72,0.62,0.65,0.6,0.5,0.18,0.1,0.5,0.33,0,0.51,0.41,0.31,0.61,0.39,0.1,0.13,0.3,0.44
"Solar Energy Systems Engineers",0.52,0.55,0.57,0.54,0.54,0.54,0.52,0.55,0.43,0.52,0.5,0.27,0.23,0.34,0.43,0.43,0.43,0.41,0.43,0.43,0.45,0.48,0.48,0.45,0,0.45,0,0.21,0.27,0.23,0.32,0.43,0.27,0.32,0,0.43,0.43,0.57,0.52,0.54,0.59,0.57,0.52,0.54,0.41,0.43,0.39,0.5,0.55,0,0.46,0.59,0.63,0.63,0.64,0.43,0,0.23,0.23,0.16,0.18,0.2,0.18,0.3,0.21,0,0.32,0.27,0,0.32,0.39,0.34,0,0.2,0,0.46,0.29,0.48,0,0.29,0.45,0.2,0,0.21,0.41,0,0.5,0.51,0,0.09,0,0,0.56,0.36,0.5,0.31,0.42,0.52,0.32,0.33,0.65,0.71,0.55,0.69,0.55,0.54,0,0,0.37,0.45,0,0.28,0.28,0.36,0.64,0.57,0.12,0,0.18,0.2
"Solar Photovoltaic Installers",0.39,0.45,0.39,0.21,0.41,0.37,0.43,0.5,0.34,0.45,0.45,0.2,0.25,0.3,0.36,0.48,0.43,0.27,0.34,0.34,0.34,0.39,0.39,0.37,0.46,0.45,0.23,0.37,0.41,0,0.48,0.41,0.41,0.41,0.23,0.37,0.37,0.46,0.37,0.36,0.46,0.43,0.45,0.5,0.41,0.39,0.32,0.34,0.34,0.29,0.54,0.36,0.46,0.52,0.41,0.3,0,0.37,0.48,0.34,0,0.41,0.34,0.45,0.39,0.34,0.41,0.39,0.21,0.39,0.43,0.39,0.32,0.25,0.43,0.32,0.39,0.39,0.2,0.36,0.43,0.34,0.2,0.36,0.46,0.23,0.48,0.52,0,0,0,0,0.45,0.09,0.49,0.2,0.16,0,0,0.2,0.63,0.54,0.67,0.51,0.24,0.5,0,0,0.31,0.3,0,0.46,0.17,0.18,0.5,0.37,0,0,0.26,0.2
"Solar Sales Representatives and Assessors",0.54,0.46,0.55,0.13,0.55,0.48,0.48,0.54,0.36,0.48,0.45,0.29,0.21,0.29,0.39,0.48,0.45,0.5,0.54,0.52,0.48,0.45,0.41,0.43,0,0.29,0.21,0,0,0.11,0.16,0.18,0,0.21,0,0.32,0.37,0.48,0.46,0.43,0.54,0.48,0.5,0.5,0.32,0.43,0.36,0.41,0.46,0.11,0.48,0.5,0.61,0.59,0.54,0.36,0,0.23,0.14,0.16,0,0.18,0.14,0.21,0.14,0,0.23,0.21,0,0.23,0.3,0.05,0,0,0,0.5,0.2,0.52,0,0.25,0.45,0,0,0.3,0.34,0,0.5,0.6,0.12,0.1,0.21,0,0.55,0.52,0.79,0.39,0.56,0.75,0.33,0.24,0.5,0.61,0.43,0.57,0.55,0.48,0,0,0.31,0.48,0,0.4,0.42,0.27,0.62,0.41,0.22,0,0.44,0.15
"Solar Thermal Installers and Technicians",0.46,0.39,0.46,0,0.45,0.45,0.45,0.5,0.41,0.46,0.43,0.16,0.2,0.34,0.43,0.41,0.46,0.41,0.41,0.43,0.41,0.41,0.39,0.45,0.59,0.52,0.27,0.43,0.46,0.11,0.46,0.48,0.45,0.41,0.16,0.43,0.41,0.46,0.43,0.43,0.45,0.45,0.45,0.46,0.46,0.46,0.39,0.37,0.36,0.32,0.52,0.45,0.5,0.52,0.46,0.37,0.09,0.37,0.48,0.37,0.41,0.43,0.39,0.45,0.34,0.32,0.46,0.37,0.3,0.48,0.45,0.43,0.16,0.32,0.37,0.43,0.41,0.46,0.2,0.37,0.45,0.3,0.2,0.36,0.46,0.21,0.52,0.59,0,0,0,0,0.44,0.27,0.74,0.34,0.46,0.37,0.25,0.26,0.8,0.74,0.8,0.68,0.59,0.74,0,0,0.62,0.39,0,0.6,0.23,0.25,0.44,0.49,0,0,0,0.26
"Sound Engineering Technicians",0.5,0.29,0.5,0.05,0.45,0.45,0.45,0.52,0.41,0.5,0.46,0.2,0.25,0.37,0.43,0.45,0.41,0.41,0.45,0.43,0.43,0.43,0.43,0.45,0.07,0.43,0.27,0.37,0.37,0.14,0.39,0.43,0.36,0.43,0.07,0.37,0.46,0.46,0.52,0.46,0.46,0.45,0.46,0.5,0.37,0.41,0.45,0.3,0.29,0.05,0.41,0.48,0.55,0.57,0.5,0.34,0,0,0.14,0,0,0.23,0.07,0.2,0,0.18,0.46,0.32,0.13,0.45,0.45,0.43,0,0.27,0.18,0.43,0.48,0.43,0.13,0.55,0.43,0,0,0.27,0.39,0,0.55,0.55,0.21,0.22,0.24,0.65,0.54,0.34,0.62,0.42,0.54,0.48,0.64,0.53,0.3,0.68,0.47,0.41,0.75,0.45,0.27,0,0.28,0.26,0,0.48,0.17,0.1,0.46,0.39,0.26,0,0.53,0.28
"Spa Managers",0.5,0.41,0.54,0,0.57,0.52,0.55,0.57,0.52,0.59,0.45,0.54,0.5,0.55,0.57,0.57,0.46,0.48,0.54,0.52,0.57,0.46,0.41,0.45,0,0.3,0.2,0,0,0.11,0.23,0.29,0,0.23,0,0.39,0.36,0.52,0.48,0.48,0.55,0.5,0.48,0.48,0.36,0.39,0.34,0.43,0.45,0,0.36,0.55,0.57,0.57,0.54,0.39,0,0.13,0.14,0.18,0,0.2,0.14,0.32,0.16,0.18,0.18,0.2,0.13,0.27,0.3,0.18,0.16,0.09,0.11,0.52,0.27,0.55,0,0.27,0.36,0,0,0.21,0.3,0,0.5,0.54,0,0,0,0,0.6,0.49,0.75,0.62,0.71,0.56,0.43,0.23,0,0,0.2,0,0.45,0.68,0.37,0,0.18,0.17,0,0.2,0,0.2,0.58,0,0.17,0.14,0.42,0.14
"Special Education Teachers, Middle School",0.57,0.39,0.57,0.07,0.57,0.57,0.55,0.55,0.59,0.55,0.45,0.05,0.05,0.43,0.54,0.55,0.57,0.45,0.46,0.48,0.57,0.46,0.43,0.43,0,0.07,0.14,0,0,0.11,0,0.07,0,0,0,0.39,0.45,0.55,0.55,0.55,0.55,0.55,0.45,0.54,0.32,0.43,0.41,0.41,0.43,0,0.36,0.57,0.59,0.57,0.57,0.43,0,0.07,0,0.07,0,0,0,0.25,0.09,0,0,0,0,0,0.16,0,0,0,0,0.55,0.3,0.55,0,0.29,0.41,0,0,0,0.3,0,0.48,0.69,0.37,0.17,0.25,0.14,0.39,0.08,0.61,0.29,0.6,0.09,0.27,0.11,0,0.11,0.06,0.1,0.57,0.72,0.54,0.14,0.34,0.26,0.11,0,0.5,0.19,0.56,0.21,0.39,0.32,0.67,0.14
